Respondent_ID,Persona_Label,Is_Outlier,Q1_Age_Group,Q2_Gender,Q3_City_Tier,Q4_Occupation,Q5_Monthly_Income,Q6_Shopping_Frequency,Q7_Platforms_Used,Q8_Avg_Order_Spend,Q9_Key_Purchase_Factor,Q10_Returns_Frequency,Q11_Product_Categories,Q12_Colour_Preferences,Q13_Occasions,Q14_Style_Personality,Q15_Ethnic_Wear,Q16_Bundle_Preferences,Q17_Price_Sensitivity,Q18_Social_Platform,Q19_D2C_Purchase_Hist,Q20_Sustainability_Pay,Q21_Ideal_Monthly_Budget,Q21_Budget_Numeric_INR,Q22_Digital_Trust_Score,Q23_Influencer_Purchase,Q24_Market_Gap_Perception,Q25_Purchase_Intent_Raw,Q25_Purchase_Intent_Label
R0023,TrendyUrban,False,18–24,Female,Tier-1,Salaried – Private,"₹20,000–₹40,000",Occasionally,Myntra|Ajio|Amazon|Flipkart|Instagram/Social,"₹1,000–₹2,500",Fabric quality|Trendy designs,Often,Jeans/Denim|Tops/Blouses|Co-ord sets|Activewear,Neutrals|Pastels|Bold/Bright,Casual outings|Dates/Parties|Travel,Ethnic-Western Fusion,Yes – occasionally,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999|Curated outfit box|Ethnic+western bundle,5.0,YouTube,Yes,Maybe – if quality is great,"₹5,000–₹10,000",7570.0,4.0,Yes – many times,Low fabric quality|Designs not India-appropriate,Unlikely,Not Interested
R0024,BudgetStudent,False,25–34,Male,Tier-1,Freelancer,,Occasionally,Myntra|Amazon|Meesho,"₹500–₹1,000",Price/Discounts|Trendy designs,Rarely,Jeans/Denim|T-shirts|Dresses,Pastels|Dark tones,College/Campus|Casual outings|Dates/Parties|Festivals|Travel|Gym/Workout,Trendy/Street style,Yes – regularly,Co-ord set+Accessories|Curated outfit box,3.0,Instagram,Not aware,No – price matters,"₹500–₹1,000",510.0,3.0,Yes – once or twice,Designs not India-appropriate|High prices,Somewhat likely,Interested
R0025,PremiumShopper,True,45–54,,Metro,Salaried – Private,"₹75,000–₹1.5L",,Myntra|Amazon|Brand website,"₹2,500–₹5,000",Brand trust|Fabric quality,,Jeans/Denim|T-shirts|Tops/Blouses|Co-ord sets|Jackets/Blazers|Shorts/Skirts|Ethnic-Western Fusion,Neutrals|Pastels|Prints & Patterns,Office/Work|Casual outings|Festivals|Travel|Work-from-home,Trendy/Street style,I buy both equally,Co-ord set+Accessories|Seasonal wardrobe kit,5.0,YouTube,No,Maybe – if quality is great,"₹5,000–₹10,000",500.0,5.0,Yes – once or twice,Poor size range|Poor returns/service,Very likely,Interested
R0026,TrendyUrban,False,25–34,Female,,Salaried – Private,"₹20,000–₹40,000",Frequently,Myntra|Ajio|Flipkart|Meesho|Brand website|Instagram/Social,"₹500–₹1,000",Price/Discounts|Trendy designs,Rarely,Jeans/Denim|Dresses|Jackets/Blazers|Ethnic-Western Fusion,Pastels|Bold/Bright|Dark tones,Office/Work|Casual outings|Dates/Parties|Travel|Work-from-home,Trendy/Street style,No – western only,Seasonal wardrobe kit,3.0,Instagram,Not aware,Maybe – if quality is great,"₹1,000–₹2,500",1780.0,4.0,Yes – many times,Designs not India-appropriate|Limited ethnic-fusion,Very likely,Interested
R0027,BudgetStudent,False,18–24,Female,Metro,Self-employed,"₹20,000–₹40,000",Occasionally,Myntra|Amazon|Flipkart|Meesho|Instagram/Social,"₹1,000–₹2,500",Price/Discounts|Brand trust,Never,Jeans/Denim|T-shirts|Tops/Blouses|Dresses|Shorts/Skirts,Pastels|Bold/Bright|Dark tones,College/Campus|Casual outings|Dates/Parties|Festivals|Gym/Workout,Boho/Free-spirited,Yes – occasionally,Top+Bottom combo,1.0,Instagram,No,Definitely yes,"₹2,500–₹5,000",3140.0,2.0,Yes – once or twice,Low fabric quality|Limited ethnic-fusion,Somewhat likely,Interested
R0028,BudgetStudent,False,18–24,Female,Tier-3 / Rural,,"Below ₹20,000",Occasionally,Amazon|Meesho,Below ₹500,Fabric quality,Sometimes,T-shirts|Shorts/Skirts|Ethnic-Western Fusion,Bold/Bright,College/Campus|Office/Work|Casual outings|Dates/Parties|Festivals|Gym/Workout,Minimalist,Yes – occasionally,3 basics for ₹999|Ethnic+western bundle,2.0,YouTube,Not aware,No – price matters,"₹500–₹1,000",810.0,4.0,Yes – once or twice,Poor size range|Low fabric quality,Unlikely,Not Interested
R0029,HousewifeTier2,False,35–44,Female,,Salaried – Govt.,"₹20,000–₹40,000",Occasionally,Meesho,"₹2,500–₹5,000",Price/Discounts|Fabric quality,Never,Jeans/Denim|Jackets/Blazers|Shorts/Skirts|Ethnic-Western Fusion,Neutrals|Dark tones|Prints & Patterns,Dates/Parties|Festivals|Travel|Work-from-home,Boho/Free-spirited,Yes – occasionally,Top+Bottom combo|3 basics for ₹999|Seasonal wardrobe kit,,Instagram,Not aware,No – price matters,₹0,0.0,2.0,Yes – once or twice,Designs not India-appropriate|High prices,Somewhat likely,Interested
R0030,ProfessionalWoman,False,35–44,Female,Tier-1,Self-employed,Above ₹1.5L,Very frequently,Myntra|Amazon|Flipkart|Instagram/Social,"Above ₹5,000",Brand trust|Fabric quality,,Jeans/Denim|Tops/Blouses|Dresses|Co-ord sets,Neutrals|Pastels|Prints & Patterns,Office/Work|Casual outings|Festivals|Travel,Classic/Formal,I buy both equally,Top+Bottom combo|Co-ord set+Accessories,3.0,WhatsApp/Friends,Yes,Definitely yes,"₹5,000–₹10,000",7210.0,4.0,Yes – once or twice,Low fabric quality|Designs not India-appropriate,Somewhat likely,Interested
R0031,HousewifeTier2,False,35–44,Female,Tier-2,Homemaker,"₹20,000–₹40,000",Frequently,Amazon|Meesho,"₹1,000–₹2,500",Price/Discounts|Trendy designs,Rarely,Tops/Blouses|Co-ord sets|Shorts/Skirts|Ethnic-Western Fusion,Pastels|Earth tones,Casual outings|Travel|Work-from-home,,I buy both equally,3 basics for ₹999|Curated outfit box|Ethnic+western bundle,2.0,YouTube,Not aware,No – price matters,"₹5,000–₹10,000",6910.0,2.0,No – but tempted,High prices,Very likely,Interested
R0032,ProfessionalWoman,False,25–34,,Metro,Self-employed,"₹75,000–₹1.5L",Very frequently,Myntra|Amazon|Meesho,"₹2,500–₹5,000",,Rarely,Jeans/Denim|T-shirts|Tops/Blouses|Dresses|Jackets/Blazers|Shorts/Skirts|Ethnic-Western Fusion,Neutrals|Prints & Patterns,Casual outings|Gym/Workout|Work-from-home,,Yes – occasionally,Co-ord set+Accessories|3 basics for ₹999,4.0,Instagram,No,Maybe – if quality is great,"Above ₹10,000",14820.0,1.0,Yes – many times,Low fabric quality|Poor returns/service,Very likely,Interested
R0033,TrendyUrban,False,25–34,Male,Tier-2,Salaried – Private,"₹75,000–₹1.5L",Frequently,Myntra|Ajio,Below ₹500,Trendy designs|Easy returns,,Tops/Blouses|Dresses|Co-ord sets|Shorts/Skirts,Neutrals|Pastels|Bold/Bright,Office/Work|Casual outings|Dates/Parties|Festivals,Trendy/Street style,Yes – regularly,Ethnic+western bundle,3.0,YouTube,Yes,Definitely yes,"₹5,000–₹10,000",7490.0,4.0,Yes – once or twice,Poor size range|Designs not India-appropriate,Somewhat likely,Interested
R0034,PremiumShopper,False,25–34,Female,Metro,Self-employed,"₹75,000–₹1.5L",Very frequently,Amazon|Instagram/Social,"Above ₹5,000",Brand trust|Easy returns,Sometimes,T-shirts|Tops/Blouses|Dresses|Jackets/Blazers|Activewear,Neutrals|Dark tones|Prints & Patterns,Office/Work|Casual outings|Travel|Gym/Workout,Classic/Formal,Yes – occasionally,Curated outfit box,4.0,None,Yes,,"Above ₹10,000",10390.0,4.0,No – but tempted,Limited ethnic-fusion|Poor returns/service,Neutral,Neutral
R0035,TrendyUrban,False,18–24,Female,Tier-2,Salaried – Private,Above ₹1.5L,Frequently,Ajio|Amazon|Flipkart|Instagram/Social,"₹1,000–₹2,500",Brand trust|Easy returns,Often,Jeans/Denim|Tops/Blouses|Dresses|Co-ord sets|Jackets/Blazers,Neutrals|Pastels|Prints & Patterns,Office/Work|Casual outings|Dates/Parties|Travel,Minimalist,No – western only,Top+Bottom combo|Co-ord set+Accessories|Seasonal wardrobe kit,3.0,Instagram,Yes,Maybe – if quality is great,"₹1,000–₹2,500",1990.0,4.0,Yes – once or twice,Low fabric quality,Definitely not,Not Interested
R0036,ProfessionalWoman,False,25–34,Non-binary,Tier-2,Salaried – Private,"₹20,000–₹40,000",Very frequently,Flipkart|Brand website|Instagram/Social,"₹2,500–₹5,000",Brand trust|Fabric quality,Rarely,Jeans/Denim|Tops/Blouses|Dresses|Co-ord sets|Jackets/Blazers|Shorts/Skirts,Neutrals|Earth tones,Office/Work|Dates/Parties|Festivals|Work-from-home,Trendy/Street style,Yes – occasionally,Top+Bottom combo|Seasonal wardrobe kit,2.0,Instagram,Yes,No – price matters,"₹5,000–₹10,000",6300.0,4.0,Yes – once or twice,Designs not India-appropriate|High prices,,Interested
R0037,HousewifeTier2,False,25–34,Female,Tier-1,Self-employed,"Below ₹20,000",Never,,"₹1,000–₹2,500",Price/Discounts,Sometimes,Jeans/Denim,Neutrals|Pastels|Bold/Bright,Casual outings|Festivals|Work-from-home,Classic/Formal,Yes – regularly,Co-ord set+Accessories|Seasonal wardrobe kit,1.0,Pinterest,No,No – price matters,"₹2,500–₹5,000",3860.0,1.0,No – never,Designs not India-appropriate,Neutral,Neutral
R0038,ProfessionalWoman,False,25–34,Female,Tier-2,Salaried – Govt.,"₹40,000–₹75,000",Rarely,Myntra|Amazon|Flipkart,"₹2,500–₹5,000",Brand trust|Fast delivery,Never,T-shirts|Tops/Blouses|Jackets/Blazers|Ethnic-Western Fusion,,Office/Work|Dates/Parties|Festivals|Travel|Gym/Workout,,Yes – regularly,3 basics for ₹999|Curated outfit box|Seasonal wardrobe kit,5.0,YouTube,Not aware,Haven't thought,"₹2,500–₹5,000",2710.0,3.0,No – never,Low fabric quality,Very likely,Interested
R0039,HousewifeTier2,False,45–54,Female,Tier-1,Homemaker,"₹75,000–₹1.5L",Occasionally,Amazon|Flipkart|Meesho|Instagram/Social,"₹1,000–₹2,500",Price/Discounts|Brand trust,Sometimes,Tops/Blouses|Dresses|Jackets/Blazers|Ethnic-Western Fusion,Neutrals|Dark tones,Casual outings|Dates/Parties,Boho/Free-spirited,Yes – occasionally,Top+Bottom combo|3 basics for ₹999|Curated outfit box,2.0,Instagram,No,No – price matters,"₹2,500–₹5,000",3050.0,1.0,No – never,Low fabric quality|Designs not India-appropriate,Somewhat likely,Interested
R0040,ProfessionalWoman,False,45–54,Female,Metro,Salaried – Private,"Below ₹20,000",Very frequently,Myntra|Ajio|Flipkart,"₹1,000–₹2,500",Price/Discounts|Brand trust,Rarely,T-shirts|Tops/Blouses|Dresses|Activewear,Earth tones,College/Campus|Office/Work|Casual outings|Festivals|Travel,Classic/Formal,Yes – occasionally,Top+Bottom combo|Curated outfit box,5.0,Instagram,Yes,Maybe – if quality is great,"₹2,500–₹5,000",3850.0,1.0,Yes – once or twice,High prices|Poor returns/service,Somewhat likely,Interested
R0041,ProfessionalWoman,True,25–34,Female,Metro,Freelancer,"₹20,000–₹40,000",Occasionally,Myntra|Ajio|Amazon|Flipkart|Brand website|Instagram/Social,"Above ₹5,000",Brand trust|Trendy designs,Often,Tops/Blouses,Neutrals|Prints & Patterns,Office/Work|Casual outings|Festivals|Travel|Work-from-home,Minimalist,Yes – occasionally,Top+Bottom combo|Co-ord set+Accessories|Seasonal wardrobe kit,1.0,None,No,Maybe – if quality is great,"₹2,500–₹5,000",,5.0,No – but tempted,Designs not India-appropriate,Very likely,Interested
R0042,BudgetStudent,False,Under 18,Male,Tier-2,Salaried – Private,"Below ₹20,000",,Meesho,Below ₹500,Price/Discounts|Trendy designs,Rarely,Jeans/Denim|T-shirts|Dresses|Ethnic-Western Fusion,Dark tones,College/Campus|Dates/Parties|Festivals,Minimalist,No – western only,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999|Seasonal wardrobe kit,3.0,Instagram,No,,"₹500–₹1,000",780.0,3.0,Yes – once or twice,Low fabric quality|Limited ethnic-fusion,Neutral,Neutral
R0043,BudgetStudent,False,18–24,Male,Tier-3 / Rural,Student,"Below ₹20,000",Occasionally,Myntra|Ajio|Meesho|Instagram/Social,"₹1,000–₹2,500",Trendy designs,Rarely,Jeans/Denim|T-shirts|Jackets/Blazers|Shorts/Skirts,Earth tones,College/Campus|Casual outings|Dates/Parties,Trendy/Street style,No – western only,Seasonal wardrobe kit,3.0,Instagram,Not aware,Maybe – if quality is great,"₹500–₹1,000",730.0,2.0,Yes – many times,Poor size range|Limited ethnic-fusion,Very likely,
R0044,TrendyUrban,False,18–24,Female,Metro,Freelancer,"₹40,000–₹75,000",Very frequently,Myntra|Ajio|Instagram/Social,"₹500–₹1,000",Brand trust|Fabric quality,Rarely,Jeans/Denim|T-shirts|Co-ord sets|Jackets/Blazers|Shorts/Skirts|Activewear|Ethnic-Western Fusion,Pastels|Dark tones|Prints & Patterns,Office/Work|Casual outings|Festivals|Gym/Workout,Trendy/Street style,Yes – regularly,Top+Bottom combo|3 basics for ₹999|Curated outfit box,2.0,Pinterest,Not aware,Definitely yes,"Above ₹10,000",11540.0,4.0,Yes – once or twice,Low fabric quality|High prices,Somewhat likely,Interested
R0045,BudgetStudent,False,18–24,Female,Tier-2,Student,"Below ₹20,000",Occasionally,Flipkart|Meesho|Instagram/Social,"₹500–₹1,000",Price/Discounts|Brand trust,Sometimes,Jeans/Denim|T-shirts|Tops/Blouses|Dresses,Bold/Bright|Dark tones,College/Campus|Casual outings|Dates/Parties|Festivals|Gym/Workout,Minimalist,I buy both equally,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999,1.0,YouTube,No,Haven't thought,₹0,0.0,3.0,Yes – once or twice,Poor size range|Low fabric quality,Very likely,Interested
R0046,BudgetStudent,False,18–24,,Tier-1,Student,"₹40,000–₹75,000",Occasionally,Myntra|Flipkart,"₹500–₹1,000",Price/Discounts|Trendy designs,Often,Jeans/Denim|T-shirts,Prints & Patterns|Earth tones,College/Campus|Casual outings|Dates/Parties|Festivals|Gym/Workout,Trendy/Street style,No – western only,Co-ord set+Accessories|3 basics for ₹999|Ethnic+western bundle|Seasonal wardrobe kit,1.0,Pinterest,No,No – price matters,"₹500–₹1,000",630.0,4.0,Yes – many times,Poor size range|Low fabric quality,Unlikely,Not Interested
R0047,BudgetStudent,False,18–24,Female,Tier-2,Student,"Below ₹20,000",Rarely,Myntra|Amazon|Flipkart|Meesho|Instagram/Social,"₹500–₹1,000",Price/Discounts,Sometimes,,Neutrals|Bold/Bright|Prints & Patterns,College/Campus|Dates/Parties|Travel,Minimalist,No – western only,Top+Bottom combo|Co-ord set+Accessories,3.0,Instagram,Yes,Haven't thought,"₹1,000–₹2,500",1620.0,5.0,Yes – once or twice,Poor returns/service,Very likely,Interested
